track_id,track_name,artist_name,genre,emotion,album,release_date,explicit,popularity,tempo,loudness,duration_sec,energy,danceability,valence,speechiness,liveness,acousticness,instrumentalness,activities,similar_1,similar_2,similar_3
trk_000001,Runaway,Glass Union,rock,fear,Sample Album,29th April 2013,False,35,158,-3.02,327,0.93,0.3,0.76,0.04,0.58,0.41,0.03,"work_study,exercise,running,yoga,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000002,Heartlines,Lunar District,country,sadness,Sample Album,29th April 2013,True,24,167,-11.25,318,0.81,0.93,0.38,0.04,0.48,0.43,0.64,"work_study,running,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000003,Silhouette,Echo Parade,indie,surprise,Sample Album,29th April 2013,True,57,146,-9.64,275,0.85,0.66,0.14,0.25,0.11,0.67,0.5,"work_study,relaxation,exercise,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000004,Vertigo,Coral Bloom,classical,love,Sample Album,29th April 2013,True,50,130,-8.48,269,0.95,0.66,0.17,0.17,0.5,0.72,0.26,"party,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000005,Runaway,Paper Kites,reggae,joy,Sample Album,29th April 2013,True,71,134,-4.63,220,0.33,0.05,0.87,0.03,0.06,0.03,0.57,"work_study,relaxation,exercise,running,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000006,Daydream,Lunar District,pop,love,Sample Album,29th April 2013,False,50,120,-4.03,344,0.44,0.54,0.25,0.09,0.07,0.33,0.65,"work_study,relaxation,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000007,Fever Dream,Lunar District,hip hop,fear,Sample Album,29th April 2013,False,85,63,-6.55,314,0.81,0.55,0.08,0.24,0.2,0.17,0.27,"relaxation,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000008,Mirage,Aurora Skies,classical,joy,Sample Album,29th April 2013,False,76,72,-4.85,144,0.25,0.64,0.14,0.22,0.25,0.38,0.64,"party,relaxation,exercise,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000009,Neon Lights,Lunar District,classical,fear,Sample Album,29th April 2013,False,99,177,-10.94,359,0.69,0.31,0.09,0.24,0.03,0.11,0.17,"exercise,yoga,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000010,Echoes,Paper Kites,metal,sadness,Sample Album,29th April 2013,True,17,69,-6.42,140,0.44,0.15,0.79,0.19,0.51,0.49,0.09,"party,work_study,relaxation,exercise,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000011,Daydream,!!!,country,anger,Sample Album,29th April 2013,False,77,111,-3.57,268,0.59,0.15,0.33,0.07,0.51,0.8,0.69,"party,work_study,relaxation,exercise,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000012,Vertigo,The Midnight,rock,anger,Sample Album,29th April 2013,False,75,65,-5.95,254,0.39,0.32,0.43,0.04,0.35,0.79,0.74,"work_study,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000013,Aurora,Glass Union,jazz,fear,Sample Album,29th April 2013,True,23,161,-5.95,186,1.0,0.2,0.19,0.27,0.56,0.41,0.39,"party,relaxation,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000014,Silhouette,Iron Waves,classical,surprise,Sample Album,29th April 2013,False,56,92,-10.0,165,0.71,0.33,0.7,0.15,0.55,0.69,0.58,"running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000015,Slow Burn,Coral Bloom,r&b,anger,Sample Album,29th April 2013,False,1,138,-3.8,336,0.23,0.68,0.41,0.17,0.58,0.84,0.56,"work_study,running,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000016,Fever Dream,Wild Empire,metal,fear,Sample Album,29th April 2013,False,39,161,-10.95,250,0.89,0.39,0.71,0.12,0.11,0.9,0.89,"party,work_study,exercise,running,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000017,Higher Ground,Velvet Rope,reggae,joy,Sample Album,29th April 2013,True,33,153,-11.95,332,0.81,0.13,0.35,0.24,0.59,0.11,0.17,"party,exercise,running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000018,Slow Burn,Paper Kites,hip hop,joy,Sample Album,29th April 2013,True,99,105,-7.42,350,0.27,0.74,0.5,0.07,0.19,0.14,0.03,"work_study,running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000019,Bloom,Glass Union,indie,fear,Sample Album,29th April 2013,False,15,103,-10.05,259,0.83,0.49,0.49,0.07,0.36,0.01,0.35,"relaxation,exercise,running,yoga,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000020,Weightless,Lunar District,folk,love,Sample Album,29th April 2013,True,64,139,-8.26,325,0.96,0.32,0.82,0.21,0.19,0.81,0.02,"work_study,relaxation,exercise,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000021,Slow Burn,Glass Union,country,anger,Sample Album,29th April 2013,True,96,65,-5.44,310,0.76,0.55,0.09,0.12,0.05,0.85,0.56,"party,running,yoga,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000022,Golden Hour,The Midnight,folk,fear,Sample Album,29th April 2013,False,84,154,-3.45,269,0.95,0.92,0.72,0.09,0.23,0.79,0.29,"work_study,relaxation,exercise,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000023,Slow Burn,Wild Empire,classical,surprise,Sample Album,29th April 2013,False,75,81,-10.84,184,0.94,0.19,0.78,0.09,0.3,0.68,0.2,"party,relaxation,yoga,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000024,Ghost Town,Echo Parade,metal,sadness,Sample Album,29th April 2013,True,97,65,-3.5,359,0.28,0.88,0.05,0.16,0.46,0.68,0.78,"party,work_study,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000025,Heartlines,Neon Fox,reggae,fear,Sample Album,29th April 2013,False,43,109,-4.91,269,0.64,0.76,0.15,0.3,0.14,0.11,0.05,"exercise,yoga,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
